Feature,Importance
Avg Token Length,0.33676038531066277
Num Nouns,0.131900594454418
Num Unique Tokens,0.12784123614520554
Num Named Entities,0.11433874190452897
Num Tokens,0.10229298853029013
Avg Sentence Length,0.07649796005895566
Num Verbs,0.04857109769090639
Num Adjectives,0.02917958223312346
Num Adverbs,0.016914073775928705
Num Sentences,0.01570333989598038
